2026-08-28 20:42:23 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 20:42:23 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 20:42:23 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 20:42:23 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 20:42:23 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 20:42:36 — INFO — GET / — 127.0.0.1
2026-08-28 20:42:36 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:42:36 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 20:42:36 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET / — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /about/ — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:47:45 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:48:14 — INFO — GET / — 127.0.0.1
2026-08-28 20:48:14 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:48:14 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 20:48:14 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:48:14 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 20:48:14 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 20:48:38 — INFO — GET / — 127.0.0.1
2026-08-28 20:48:38 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:48:38 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 20:48:38 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:48:38 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 20:48:38 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET / — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /about/ — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:53:38 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:54:12 — INFO — GET / — 127.0.0.1
2026-08-28 20:54:12 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:54:12 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 20:54:12 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:54:12 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 20:54:12 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET / — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /about/ — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /robots.txt — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /sitemap.xml — 127.0.0.1
2026-08-28 21:05:52 — INFO — GET /static/images/og-image.png — 127.0.0.1
2026-08-28 21:07:30 — INFO — GET / — 127.0.0.1
2026-08-28 21:07:30 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:07:30 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:07:30 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:07:44 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 21:07:44 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:07:44 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:07:44 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:13:37 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 21:13:37 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:13:37 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:13:37 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:14:08 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 21:14:08 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:14:08 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:14:08 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:14:25 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 21:14:25 — INFO — Администратор admin вошёл в систему
2026-08-28 21:14:25 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 21:14:25 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:14:25 — INFO — GET /static/images/logo-small.png — 127.0.0.1
